node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
import/darknet/residual15/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (4.82%, 0.08%),            89us (3.57%, 0.03%),            37us (1.45%, 0.02%),            52us (8.74%, 0.06%)
import/darknet/residual18/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (4.74%, 0.08%),            88us (3.54%, 0.03%),            35us (1.44%, 0.02%),            53us (8.68%, 0.06%)
import/darknet/residual3/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.38MB (4.65%, 0.08%),            88us (3.51%, 0.03%),            32us (1.42%, 0.02%),            56us (8.61%, 0.07%)
import/darknet/residual14/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            88us (3.48%, 0.03%),            20us (1.40%, 0.01%),            68us (8.55%, 0.08%)
import/darknet/residual11/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            88us (3.45%, 0.03%),            20us (1.39%, 0.01%),            68us (8.47%, 0.08%)
Shape                                80B (4.57%, 0.00%),            88us (3.42%, 0.03%),             0us (1.38%, 0.00%),            88us (8.39%, 0.10%)
import/darknet/residual12/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            87us (3.39%, 0.03%),            34us (1.38%, 0.02%),            53us (8.28%, 0.06%)
import/darknet/residual14/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (4.57%, 0.08%),            86us (3.36%, 0.03%),            35us (1.37%, 0.02%),            51us (8.22%, 0.06%)
import/conv62/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            86us (3.33%, 0.03%),            20us (1.35%, 0.01%),            66us (8.16%, 0.08%)
import/darknet/conv26/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (4.49%, 0.08%),            86us (3.30%, 0.03%),            33us (1.34%, 0.02%),            53us (8.08%, 0.06%)
import/darknet/residual5/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (4.40%, 0.08%),            86us (3.27%, 0.03%),            28us (1.33%, 0.01%),            58us (8.02%, 0.07%)
import/darknet/residual15/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (4.32%, 0.08%),            85us (3.24%, 0.03%),            34us (1.31%, 0.02%),            51us (7.95%, 0.06%)
import/conv56/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            85us (3.21%, 0.03%),            10us (1.30%, 0.00%),            75us (7.89%, 0.09%)
